year,state,p_poor_mental,gun_suicides,population,fem_fs_s,male_fs_s,mean_fs_s
1994,Kansas,0.06086341118188252,181,2559142,0.456140351,0.693617021,0.574878686
1994,Kentucky,0.1274426508071368,379,3825183,0.533333333,0.775175644,0.6542544885
1994,Louisiana,0.07977736549165121,413,4308706,0.624,0.796252927,0.7101264635
1994,Maine,0.05,97,1235203,0.393939394,0.622222222,0.508080808
1994,Maryland,0.06261384335154827,297,4987660,0.359550562,0.603644647,0.4815976045
1994,Massachusetts,0.10964408725602756,155,6029543,0.105263158,0.359296482,0.23227981999999997
1994,Michigan,0.100418410041841,602,9590525,0.299435028,0.63911525,0.469275139
1994,Minnesota,0.07754601226993865,247,4567254,0.204545455,0.564039409,0.384292432
1994,Mississippi,0.08005249343832022,233,2664378,0.754716981,0.770992366,0.7628546734999999
1994,Missouri,0.09543010752688172,500,5292888,0.482758621,0.727124183,0.604941402
1994,Montana,0.06723404255319149,115,855041,0.5,0.779411765,0.6397058824999999
1994,Nebraska,0.07053469852104664,102,1622371,0.08,0.656441718,0.36822085899999996
1994,Nevada,0.12071869736103313,226,1458216,0.506849315,0.705223881,0.606036598
1994,New Hampshire,0.09133964817320704,61,1133667,0.285714286,0.596330275,0.44102228050000003
1994,New Jersey,0.05567010309278351,171,7919371,0.094827586,0.380952381,0.2378899835
1994,New Mexico,0.06103286384976526,196,1654495,0.484375,0.690376569,0.5873757845
1994,New York,0.10088495575221239,592,18160022,0.207430341,0.446808511,0.327119426
1994,North Carolina,0.06288416075650118,650,7063214,0.617283951,0.74829932,0.6827916355
1994,North Dakota,0.08698092031425365,36,639802,0,0.623376623,0.3116883115
1994,Ohio,0.0755287009063444,685,11103775,0.46875,0.661166117,0.5649580585
1994,Oklahoma,0.0507446221731936,301,3249252,0.488095238,0.738419619,0.6132574285
1994,Oregon,0.08475177304964539,310,3087529,0.369369369,0.670822943,0.520096156
1994,Pennsylvania,0.08117154811715481,757,12044608,0.32300885,0.621818182,0.47241351600000003
1994,South Carolina,0.09060240963855422,329,3668076,0.646341463,0.715025907,0.680683685
1994,South Dakota,0.04817275747508306,58,729519,0.533333333,0.719512195,0.626422764
1994,Tennessee,0.06212624584717608,506,5159452,0.638655462,0.794824399,0.7167399305
1994,Texas,0.08577263444520082,1652,18353337,0.574324324,0.737982039,0.6561531815
1994,Utah,0.07288790723357261,176,1942514,0.264150943,0.680672269,0.472411606
1994,Vermont,0.07865168539325842,25,578963,0.411764706,0.756097561,0.5839311335
1994,Virginia,0.07285145133750712,549,6542352,0.465753425,0.712592593,0.589173009
1994,Washington,0.09129511677282377,438,5337402,0.312056738,0.637540453,0.4747985955
1994,West Virginia,0.08413161182840483,177,1818998,0.435897436,0.757990868,0.5969441520000001
1994,Wisconsin,0.08165910563836681,338,5096520,0.241071429,0.647916667,0.444494048
1994,Wyoming,0.08553157474020784,59,475019,0.619047619,0.744186047,0.6816168330000001
1995,Alabama,0.1012514220705347,427,4271934,0.639534884,0.786163522,0.712849203
1995,Alaska,0.06706507304116865,62,601982,0.5625,0.75862069,0.6605603449999999
